0,0,-,-,-,init_experiment,round_ms=1000 nodes=25
66,445,localhost/127.0.0.1:8015,SpanningTree,tree-15,state,root=true dist=0 parent=null children=
67,445,localhost/127.0.0.1:8016,TreeLabelNodes,label-16,state,label:1
68,445,localhost/127.0.0.1:8015,TreeCountNodes,count-15,state,subtree-size:1   child subtrees: 
69,445,localhost/127.0.0.1:8016,SpanningTree,tree-16,state,root=true dist=0 parent=null children=
70,446,localhost/127.0.0.1:8016,TreeCountNodes,count-16,state,subtree-size:1   child subtrees: 
71,491,localhost/127.0.0.1:8000,DemoCompositeProtocol,mergeC(mergeC(leader-0 || label-0) || mergeC(tree-0 || count-0)),rate,2.00000
72,507,localhost/127.0.0.1:8017,MinAddressLeaderElection,leader-17,state,localhost/127.0.0.1:8017,
73,508,localhost/127.0.0.1:8017,TreeLabelNodes,label-17,state,label:1
74,508,localhost/127.0.0.1:8017,SpanningTree,tree-17,state,root=true dist=0 parent=null children=
75,508,localhost/127.0.0.1:8017,TreeCountNodes,count-17,state,subtree-size:1   child subtrees: 
76,519,localhost/127.0.0.1:8004,DemoCompositeProtocol,mergeC(mergeC(leader-4 || label-4) || mergeC(tree-4 || count-4)),rate,2.00000
77,531,localhost/127.0.0.1:8003,DemoCompositeProtocol,mergeC(mergeC(leader-3 || label-3) || mergeC(tree-3 || count-3)),rate,2.00000
78,538,localhost/127.0.0.1:8005,DemoCompositeProtocol,mergeC(mergeC(leader-5 || label-5) || mergeC(tree-5 || count-5)),rate,2.00000
79,541,localhost/127.0.0.1:8018,MinAddressLeaderElection,leader-18,state,localhost/127.0.0.1:8018,
80,541,localhost/127.0.0.1:8018,TreeLabelNodes,label-18,state,label:1
81,541,localhost/127.0.0.1:8018,SpanningTree,tree-18,state,root=true dist=0 parent=null children=
82,542,localhost/127.0.0.1:8018,TreeCountNodes,count-18,state,subtree-size:1   child subtrees: 
83,565,localhost/127.0.0.1:8007,DemoCompositeProtocol,mergeC(mergeC(leader-7 || label-7) || mergeC(tree-7 || count-7)),rate,2.00000
84,578,localhost/127.0.0.1:8006,DemoCompositeProtocol,mergeC(mergeC(leader-6 || label-6) || mergeC(tree-6 || count-6)),rate,2.00000
85,580,localhost/127.0.0.1:8019,MinAddressLeaderElection,leader-19,state,localhost/127.0.0.1:8019,
86,580,localhost/127.0.0.1:8019,TreeLabelNodes,label-19,state,label:1
87,580,localhost/127.0.0.1:8019,SpanningTree,tree-19,state,root=true dist=0 parent=null children=
88,580,localhost/127.0.0.1:8019,TreeCountNodes,count-19,state,subtree-size:1   child subtrees: 
89,590,localhost/127.0.0.1:8008,DemoCompositeProtocol,mergeC(mergeC(leader-8 || label-8) || mergeC(tree-8 || count-8)),rate,2.00000
90,591,localhost/127.0.0.1:8012,DemoCompositeProtocol,mergeC(mergeC(leader-12 || label-12) || mergeC(tree-12 || count-12)),rate,2.00000
91,596,localhost/127.0.0.1:8009,DemoCompositeProtocol,mergeC(mergeC(leader-9 || label-9) || mergeC(tree-9 || count-9)),rate,2.00000
92,604,localhost/127.0.0.1:8020,MinAddressLeaderElection,leader-20,state,localhost/127.0.0.1:8020,
93,604,localhost/127.0.0.1:8020,TreeLabelNodes,label-20,state,label:1
94,604,localhost/127.0.0.1:8020,SpanningTree,tree-20,state,root=true dist=0 parent=null children=
95,605,localhost/127.0.0.1:8020,TreeCountNodes,count-20,state,subtree-size:1   child subtrees: 
96,614,localhost/127.0.0.1:8013,DemoCompositeProtocol,mergeC(mergeC(leader-13 || label-13) || mergeC(tree-13 || count-13)),rate,2.00000
97,618,localhost/127.0.0.1:8011,DemoCompositeProtocol,mergeC(mergeC(leader-11 || label-11) || mergeC(tree-11 || count-11)),rate,2.00000
98,622,localhost/127.0.0.1:8015,DemoCompositeProtocol,mergeC(mergeC(leader-15 || label-15) || mergeC(tree-15 || count-15)),rate,2.00000
99,629,localhost/127.0.0.1:8016,DemoCompositeProtocol,mergeC(mergeC(leader-16 || label-16) || mergeC(tree-16 || count-16)),rate,2.00000
